index,dice,iou,time_ms
0,0.8580,0.7513,39.38
1,0.9057,0.8277,37.96
2,0.9816,0.9639,37.86
3,0.9120,0.8383,38.12
4,0.9434,0.8928,37.93
5,0.7431,0.5912,38.02
6,0.8561,0.7484,37.94
7,0.7387,0.5856,37.99
8,0.9596,0.9223,37.96
9,0.9738,0.9490,38.04
10,0.9301,0.8694,37.95
11,0.8852,0.7941,38.03
12,0.9691,0.9400,37.94
13,0.9848,0.9701,38.04
14,0.8009,0.6679,37.99
15,0.9702,0.9421,38.04
16,0.9542,0.9123,37.94
17,0.9595,0.9221,37.97
18,0.9543,0.9126,37.96
19,0.7294,0.5740,38.00
