index,dice,iou,time_ms
0,0.8098,0.6804,15.43
1,0.8658,0.7634,13.32
2,0.9771,0.9553,13.23
3,0.8244,0.7012,13.24
4,0.9349,0.8777,13.21
5,0.6708,0.5047,13.24
6,0.8294,0.7085,13.23
7,0.7339,0.5797,13.24
8,0.9296,0.8685,13.24
9,0.9594,0.9219,13.24
10,0.8793,0.7846,13.24
11,0.8679,0.7667,13.24
12,0.9606,0.9241,13.22
13,0.9803,0.9613,13.24
14,0.6510,0.4826,13.23
15,0.9629,0.9284,13.26
16,0.9069,0.8296,13.24
17,0.9548,0.9135,13.25
18,0.9262,0.8625,13.22
19,0.7319,0.5772,13.23
