index,dice,iou,time_ms
0,0.8075,0.6772,14.89
1,0.8712,0.7718,13.29
2,0.9791,0.9591,13.23
3,0.9027,0.8226,13.22
4,0.9398,0.8864,13.21
5,0.7027,0.5417,13.19
6,0.8492,0.7379,13.19
7,0.7715,0.6280,13.19
8,0.9398,0.8864,13.24
9,0.9667,0.9355,13.22
10,0.8335,0.7146,13.21
11,0.8713,0.7719,13.56
12,0.9655,0.9333,13.40
13,0.9728,0.9470,13.23
14,0.8046,0.6730,13.21
15,0.9624,0.9276,13.20
16,0.8837,0.7916,13.19
17,0.9599,0.9229,13.18
18,0.9231,0.8573,13.21
19,0.7397,0.5869,13.21
