index,dice,iou,time_ms
0,0.8435,0.7293,14.95
1,0.9078,0.8312,13.26
2,0.9790,0.9589,13.18
3,0.9040,0.8248,13.17
4,0.9447,0.8952,13.15
5,0.6812,0.5165,13.17
6,0.8687,0.7679,13.17
7,0.7562,0.6079,13.18
8,0.9630,0.9286,13.16
9,0.9730,0.9473,13.15
10,0.9006,0.8191,13.16
11,0.8763,0.7798,13.15
12,0.9694,0.9405,13.18
13,0.9825,0.9657,13.19
14,0.8024,0.6700,13.22
15,0.9686,0.9392,13.20
16,0.9514,0.9074,13.18
17,0.9531,0.9104,13.20
18,0.9454,0.8964,13.19
19,0.7438,0.5921,13.21
